fromba,toba,total_mwh,mean_mw,hours_active
SC,SOCO,-4055160.0,-462.9178082191781,8760
NYIS,IESO,-4101515.0,-468.20947488584477,8760
JEA,FPL,-4125266.0,-470.9207762557078,8760
AVA,BPAT,-4222306.0,-481.99840182648404,8760
SRP,GRID,-4400141.0,-502.29920091324203,8760
FPC,FMPP,-4736023.0,-540.6418949771689,8760
DUK,SC,-4879130.0,-556.9783105022831,8760
SCL,BPAT,-4948306.0,-564.8751141552511,8760
MISO,SOCO,-5239233.0,-598.0859589041096,8760
MISO,MHEB,-5389292.0,-615.2159817351599,8760
LDWP,BPAT,-6138554.0,-704.6090449954087,8712
PJM,DUK,-6694731.0,-768.537596142808,8711
PACE,WACM,-6767413.0,-772.5357305936074,8760
PJM,TVA,-6984844.0,-801.8418092067501,8711
BPAT,NWMT,-6997762.0,-798.8312785388127,8760
WALC,AZPS,-7040120.0,-805.8745421245421,8736
CISO,AZPS,-7066922.0,-806.7262557077626,8760
SCEG,SOCO,-7077674.0,-812.4051882460973,8712
FPL,SEC,-7256741.0,-837.5739843028624,8664
FPC,FPL,-7406443.0,-845.4843607305936,8760
MISO,IESO,-7442787.0,-849.6332191780822,8760
CISO,NEVP,-7559381.0,-862.9430365296804,8760
SC,SCEG,-7617832.0,-869.6155251141553,8760
LDWP,WALC,-7753461.0,-889.9748622589532,8712
IPCO,PACE,-8173316.0,-933.0269406392694,8760
PACW,BPAT,-8582037.0,-979.6845890410959,8760
NEVP,LDWP,-8663962.0,-989.0367579908676,8760
CISO,SRP,-9717954.0,-1109.3554794520549,8760
ISNE,HQT,-10547524.0,-1204.0552511415526,8760
TVA,MISO,-14526828.0,-1658.5030254595274,8759
PGE,BPAT,-15451054.0,-1763.8189497716894,8760
PSEI,BPAT,-16007476.0,-1827.3374429223745,8760
NYIS,PJM,-19294263.0,-2202.5414383561642,8760
AZPS,SRP,-31051590.0,-3544.7020547945203,8760
MISO,PJM,-33499599.0,-3824.1551369863014,8760
