ecoregion_code,ecoregion_name,E_score,Ec_score,S_score,composite_score,tract_count,population_total
21,Southern Rockies,7.524275513071542,6.2786063559514025,5.385365027782998,6.3960822989353145,203,632433.0
17,Middle Rockies,6.556176124220951,5.846786298292663,5.2107983214771965,5.87125358133027,156,615066.0
25,High Plains,2.3961643360533746,7.5639410393871715,5.433165598993605,5.1310903248113835,937,3894519.0
43,Northwestern Great Plains,2.961077699508978,5.8569802711524455,4.854615136505428,4.557557702388949,175,618097.0
80,Northern Basin and Range,2.0555839546782546,6.01400862269284,4.964101463179467,4.344564680183521,19,64568.0
20,Colorado Plateaus,0.6860653953238108,6.048786713851397,4.957086999289627,3.897313036154945,112,466445.0
18,Wyoming Basin,0.5979238212990823,5.796989539576066,4.85485364071362,3.749922333862923,74,242102.0
