action_id,capital_tier,magnitude_pct,composite_score,E_score,Ec_score,S_score,slope_per_unit,cost_efficiency_per_$1M
wind_utility,energy_generation,25.0,5.222932884197846,3.3306897593411633,7.0144987978182725,5.323610095434103,8.809051147657953e-07,6.160175627732835e-07
wind_utility,energy_generation,50.0,5.223153110476538,3.330763196432939,7.015049321016685,5.32364681397999,8.809051147693481e-07,6.160175627757679e-07
wind_utility,energy_generation,75.0,5.22337333675523,3.330836633524714,7.015599844215099,5.3236835325258784,8.809051147693481e-07,6.160175627757679e-07
wind_utility,energy_generation,100.0,5.223593563033922,3.3309100706164894,7.016150367413511,5.323720251071766,8.809051147657953e-07,6.160175627732835e-07
wind_utility,energy_generation,150.0,5.224034015591305,3.3310569448000398,7.017251413810335,5.3237936881635415,8.809051147657953e-07,6.160175627732835e-07
wind_utility,energy_generation,200.0,5.2244744681486885,3.3312038189835906,7.0183524602071605,5.323867125255316,8.809051147675718e-07,6.160175627745256e-07
solar_utility,energy_generation,25.0,5.223568839001003,3.330904770085373,7.016086796376986,5.323714950540649,3.296537722619064e-08,2.1196873216429167e-08
solar_utility,energy_generation,50.0,5.223577080345309,3.3309065369290787,7.016107986722495,5.323716717384355,3.296537722263793e-08,2.1196873214144756e-08
solar_utility,energy_generation,75.0,5.223585321689615,3.3309083037727834,7.016129177068002,5.32371848422806,3.296537722619064e-08,2.1196873216429167e-08
solar_utility,energy_generation,100.0,5.223593563033922,3.3309100706164894,7.016150367413511,5.323720251071766,3.296537722619064e-08,2.1196873216429167e-08
solar_utility,energy_generation,150.0,5.223610045722534,3.3309136043039005,7.016192748104525,5.323723784759176,3.296537722441428e-08,2.1196873215286963e-08
solar_utility,energy_generation,200.0,5.223626528411146,3.330917137991311,7.016235128795541,5.323727318446587,3.296537722441428e-08,2.1196873215286963e-08
geothermal_utility,energy_generation,25.0,5.223364072122124,3.3311013130429874,7.015461894678117,5.323529008645268,3.059878823989948e-06,
geothermal_utility,energy_generation,50.0,5.223440569092723,3.331037565567488,7.015691385589915,5.323592756120767,3.0598788239544207e-06,
geothermal_utility,energy_generation,75.0,5.223517066063322,3.330973818091989,7.0159208765017125,5.323656503596267,3.0598788239544207e-06,
geothermal_utility,energy_generation,100.0,5.223593563033922,3.3309100706164894,7.016150367413511,5.323720251071766,3.059878823989948e-06,
geothermal_utility,energy_generation,150.0,5.22374655697512,3.3307825756654905,7.016609349237106,5.323847746022765,3.0598788239544207e-06,
geothermal_utility,energy_generation,200.0,5.223899550916319,3.330655080714492,7.017068331060702,5.3239752409737635,3.059878823989948e-06,
coal_repowering,energy_generation,25.0,5.22334800770922,3.3309100706164894,7.015690071131817,5.323443881379352,3.2740709960421555e-07,1.0913569986807186e-06
coal_repowering,energy_generation,50.0,5.223429859484121,3.3309100706164894,7.015843503225716,5.3235360046101565,3.2740709960421555e-07,1.0913569986807186e-06
coal_repowering,energy_generation,75.0,5.223511711259022,3.3309100706164894,7.015996935319613,5.323628127840961,3.2740709960421555e-07,1.0913569986807186e-06
coal_repowering,energy_generation,100.0,5.223593563033922,3.3309100706164894,7.016150367413511,5.323720251071766,3.2740709960066283e-07,1.0913569986688762e-06
coal_repowering,energy_generation,150.0,5.223757266583724,3.3309100706164894,7.016457231601307,5.323904497533375,3.2740709960421555e-07,1.0913569986807186e-06
coal_repowering,energy_generation,200.0,5.223920970133526,3.3309100706164894,7.016764095789103,5.3240887439949836,3.2740709960421555e-07,1.0913569986807186e-06
smr_advanced,energy_generation,25.0,5.21316525721618,3.333043133170119,6.991264637621171,5.315188000857249,0.000139044077569892,
smr_advanced,energy_generation,50.0,5.216641359155427,3.332332112318909,6.999559880885284,5.3180320842620885,0.000139044077569892,
smr_advanced,energy_generation,75.0,5.220117461094675,3.331621091467699,7.007855124149398,5.320876167666927,0.000139044077569892,
smr_advanced,energy_generation,100.0,5.223593563033922,3.3309100706164894,7.016150367413511,5.323720251071766,0.000139044077569892,
smr_advanced,energy_generation,150.0,5.2305457669124165,3.3294880289140703,7.0327408539417355,5.329408417881442,0.000139044077569892,
smr_advanced,energy_generation,200.0,5.237497970790911,3.3280659872116503,7.049331340469962,5.3350965846911205,0.000139044077569892,
coal_to_solar,energy_generation,25.0,5.2235835509195905,3.3309033958736016,7.016133680556292,5.323713576328878,2.6698971545613405e-08,
coal_to_solar,energy_generation,50.0,5.223586888291035,3.330905620787897,7.016139242842032,5.323715801243174,2.669897155271883e-08,
coal_to_solar,energy_generation,75.0,5.223590225662478,3.330907845702193,7.016144805127771,5.3237180261574695,2.6698971545613405e-08,
coal_to_solar,energy_generation,100.0,5.223593563033922,3.3309100706164894,7.016150367413511,5.323720251071766,2.669897155271883e-08,
coal_to_solar,energy_generation,150.0,5.223600237776809,3.3309145204450807,7.01616149198499,5.323724700900357,2.6698971549166116e-08,
coal_to_solar,energy_generation,200.0,5.223606912519696,3.330918970273672,7.016172616556469,5.323729150728949,2.6698971549166116e-08,
battery_grid,energy_storage,25.0,5.223200400228272,3.3309100706164894,7.015424528387695,5.323266601680632,5.242170742008057e-07,
battery_grid,energy_storage,50.0,5.223331454496822,3.3309100706164894,7.015666474729634,5.3234178181443434,5.242170742008057e-07,
battery_grid,energy_storage,75.0,5.223462508765372,3.3309100706164894,7.015908421071572,5.323569034608054,5.242170741972529e-07,
battery_grid,energy_storage,100.0,5.223593563033922,3.3309100706164894,7.016150367413511,5.323720251071766,5.242170742008057e-07,
battery_grid,energy_storage,150.0,5.223855671571021,3.3309100706164894,7.016634260097386,5.324022683999189,5.242170741990293e-07,
battery_grid,energy_storage,200.0,5.224117780108121,3.3309100706164894,7.017118152781263,5.3243251169266115,5.242170741990293e-07,
transmission_230kv,energy_transmission,25.0,5.216856195831449,3.3309100706164894,6.9977763097792325,5.321882207098625,8.98315626995938e-05,3.593262507983752e-05
transmission_230kv,energy_transmission,50.0,5.21910198489894,3.3309100706164894,7.003900995657325,5.322494888423005,8.983156269966486e-05,3.593262507986594e-05
transmission_230kv,energy_transmission,75.0,5.221347773966431,3.3309100706164894,7.010025681535418,5.3231075697473855,8.983156269962932e-05,3.593262507985173e-05
transmission_230kv,energy_transmission,100.0,5.223593563033922,3.3309100706164894,7.016150367413511,5.323720251071766,8.983156269962932e-05,3.593262507985173e-05
transmission_230kv,energy_transmission,150.0,5.228085141168904,3.3309100706164894,7.028399739169696,5.324945613720526,8.983156269964709e-05,3.593262507985884e-05
transmission_230kv,energy_transmission,200.0,5.232576719303886,3.3309100706164894,7.04064911092588,5.326170976369287,8.983156269962932e-05,3.593262507985173e-05
microgrid,energy_transmission,25.0,5.221388916316775,3.3309100706164894,7.013945720696364,5.319310957637471,0.0005879057912387964,
microgrid,energy_transmission,50.0,5.222123798555824,3.3309100706164894,7.014680602935413,5.320780722115569,0.000587905791239507,
microgrid,energy_transmission,75.0,5.2228586807948725,3.3309100706164894,7.015415485174462,5.322250486593667,0.0005879057912387964,
microgrid,energy_transmission,100.0,5.223593563033922,3.3309100706164894,7.016150367413511,5.323720251071766,0.000587905791239507,
microgrid,energy_transmission,150.0,5.225063327512021,3.3309100706164894,7.01762013189161,5.326659780027962,0.000587905791239507,
microgrid,energy_transmission,200.0,5.226533091990118,3.3309100706164894,7.0190898963697075,5.329599308984157,0.0005879057912387964,
riparian_buffer,hydrological_restoration,25.0,5.200592484981147,3.2619068364581643,7.016150367413511,5.323720251071766,3.0668104070368686e-06,0.00038335130087960854
riparian_buffer,hydrological_restoration,50.0,5.208259510998738,3.284907914510939,7.016150367413511,5.323720251071766,3.0668104070365132e-06,0.00038335130087956414
riparian_buffer,hydrological_restoration,75.0,5.215926537016331,3.307908992563715,7.016150367413511,5.323720251071766,3.0668104070368686e-06,0.00038335130087960854
riparian_buffer,hydrological_restoration,100.0,5.223593563033922,3.3309100706164894,7.016150367413511,5.323720251071766,3.0668104070365132e-06,0.00038335130087956414
riparian_buffer,hydrological_restoration,150.0,5.238927615069105,3.376912226722039,7.016150367413511,5.323720251071766,3.0668104070366907e-06,0.00038335130087958636
riparian_buffer,hydrological_restoration,200.0,5.254261667104288,3.4229143828275865,7.016150367413511,5.323720251071766,3.0668104070365132e-06,0.00038335130087956414
beaver_reintroduction,hydrological_restoration,25.0,5.223514526225496,3.3307304415064305,7.016114441591498,5.323698695578559,1.0538241123470016e-05,
beaver_reintroduction,hydrological_restoration,50.0,5.2235408718283045,3.33079031787645,7.016126416865503,5.323705880742961,1.0538241123470016e-05,
beaver_reintroduction,hydrological_restoration,75.0,5.223567217431113,3.3308501942464694,7.016138392139507,5.323713065907363,1.0538241123470016e-05,
beaver_reintroduction,hydrological_restoration,100.0,5.223593563033922,3.3309100706164894,7.016150367413511,5.323720251071766,1.0538241123470016e-05,
beaver_reintroduction,hydrological_restoration,150.0,5.223646254239539,3.3310298233565283,7.016174317961518,5.32373462140057,1.0538241123470016e-05,
beaver_reintroduction,hydrological_restoration,200.0,5.223698945445157,3.3311495760965677,7.016198268509527,5.323748991729375,1.0538241123470016e-05,
wetland_restoration,hydrological_restoration,25.0,5.223584795072033,3.330890586256737,7.0161474447595475,5.323716354199815,2.3381231699204364e-09,
wetland_restoration,hydrological_restoration,50.0,5.223587717725995,3.330897081043321,7.016148418977536,5.323717653157131,2.3381231699204364e-09,
wetland_restoration,hydrological_restoration,75.0,5.2235906403799595,3.3309035758299053,7.016149393195524,5.323718952114449,2.338123171341522e-09,
wetland_restoration,hydrological_restoration,100.0,5.223593563033922,3.3309100706164894,7.016150367413511,5.323720251071766,2.3381231699204364e-09,
wetland_restoration,hydrological_restoration,150.0,5.2235994083418475,3.3309230601896576,7.016152315849486,5.3237228489863995,2.3381231702757076e-09,
wetland_restoration,hydrological_restoration,200.0,5.223605253649773,3.3309360497628258,7.016154264285461,5.323725446901032,2.3381231702757076e-09,
watershed_protection,hydrological_restoration,25.0,5.223376821617225,3.3304510887928944,7.016073870442912,5.323605505615867,5.779771112059962e-09,
watershed_protection,hydrological_restoration,50.0,5.223449068756124,3.3306040827340926,7.01609936943311,5.323643754101167,5.779771111917853e-09,
watershed_protection,hydrological_restoration,75.0,5.223521315895023,3.330757076675291,7.016124868423311,5.323682002586466,5.779771111917853e-09,
watershed_protection,hydrological_restoration,100.0,5.223593563033922,3.3309100706164894,7.016150367413511,5.323720251071766,5.779771111917853e-09,
watershed_protection,hydrological_restoration,150.0,5.223738057311721,3.3312160584988866,7.0162013653939095,5.323796748042366,5.77977111195338e-09,
watershed_protection,hydrological_restoration,200.0,5.2238825515895195,3.3315220463812834,7.01625236337431,5.323873245012964,5.77977111195338e-09,
mine_land_reclamation,hydrological_restoration,25.0,5.217194375373034,3.318111695294715,7.012595263157462,5.320876167666927,1.7064500429029294e-06,
mine_land_reclamation,hydrological_restoration,50.0,5.2193274379266645,3.3223778204019734,7.013780297909479,5.3218241954685395,1.7064500429043505e-06,
mine_land_reclamation,hydrological_restoration,75.0,5.221460500480293,3.326643945509231,7.014965332661494,5.322772223270153,1.7064500429029294e-06,
mine_land_reclamation,hydrological_restoration,100.0,5.223593563033922,3.3309100706164894,7.016150367413511,5.323720251071766,1.7064500429029294e-06,
mine_land_reclamation,hydrological_restoration,150.0,5.22785968814118,3.3394423208310053,7.018520436917543,5.325616306674991,1.7064500429032848e-06,
mine_land_reclamation,hydrological_restoration,200.0,5.232125813248437,3.3479745710455218,7.0208905064215745,5.327512362278218,1.7064500429029294e-06,
floodplain_reconnection,hydrological_restoration,25.0,5.223522292975951,3.330767530500548,7.016118691832191,5.323680656595116,1.9005348791267806e-06,
floodplain_reconnection,hydrological_restoration,50.0,5.223546049661941,3.3308150438725286,7.016129250359297,5.323693854753999,1.900534879197835e-06,
floodplain_reconnection,hydrological_restoration,75.0,5.223569806347931,3.330862557244509,7.016139808886404,5.323707052912882,1.900534879197835e-06,
floodplain_reconnection,hydrological_restoration,100.0,5.223593563033922,3.3309100706164894,7.016150367413511,5.323720251071766,1.9005348792688892e-06,
floodplain_reconnection,hydrological_restoration,150.0,5.223641076405902,3.3310050973604497,7.016171484467724,5.323746647389533,1.900534879197835e-06,
floodplain_reconnection,hydrological_restoration,200.0,5.223688589777883,3.331100124104411,7.016192601521938,5.323773043707299,1.900534879233362e-06,
prairie_restoration,terrestrial_ecosystem,25.0,5.196761099338061,3.2504126795289054,7.016150367413511,5.323720251071766,3.5776618261149194e-06,0.02385107884076613
prairie_restoration,terrestrial_ecosystem,50.0,5.205705253903347,3.277245143224767,7.016150367413511,5.323720251071766,3.5776618261145645e-06,0.023851078840763762
prairie_restoration,terrestrial_ecosystem,75.0,5.2146494084686354,3.304077606920629,7.016150367413511,5.323720251071766,3.5776618261152747e-06,0.023851078840768498
prairie_restoration,terrestrial_ecosystem,100.0,5.223593563033922,3.3309100706164894,7.016150367413511,5.323720251071766,3.5776618261145645e-06,0.023851078840763762
prairie_restoration,terrestrial_ecosystem,150.0,5.241481872164496,3.3845749980082105,7.016150367413511,5.323720251071766,3.577661826114742e-06,0.023851078840764945
prairie_restoration,terrestrial_ecosystem,200.0,5.259370181295069,3.4382399253999316,7.016150367413511,5.323720251071766,3.577661826114742e-06,0.023851078840764945
invasive_treatment,terrestrial_ecosystem,25.0,5.222674579427124,3.3281531197960934,7.016150367413511,5.323720251071766,1.2253114757321272e-07,0.001531639344665159
invasive_treatment,terrestrial_ecosystem,50.0,5.222980907296056,3.329072103402892,7.016150367413511,5.323720251071766,1.2253114757285744e-07,0.001531639344660718
invasive_treatment,terrestrial_ecosystem,75.0,5.223287235164989,3.3299910870096907,7.016150367413511,5.323720251071766,1.2253114757321272e-07,0.001531639344665159
invasive_treatment,terrestrial_ecosystem,100.0,5.223593563033922,3.3309100706164894,7.016150367413511,5.323720251071766,1.2253114757321272e-07,0.001531639344665159
invasive_treatment,terrestrial_ecosystem,150.0,5.224206218771788,3.332748037830087,7.016150367413511,5.323720251071766,1.2253114757321272e-07,0.001531639344665159
invasive_treatment,terrestrial_ecosystem,200.0,5.224818874509654,3.3345860050436844,7.016150367413511,5.323720251071766,1.2253114757321272e-07,0.001531639344665159
forest_restoration,terrestrial_ecosystem,25.0,5.223584145593375,3.330888637820762,7.0161474447595475,5.323716354199815,1.2556587396517216e-09,
forest_restoration,terrestrial_ecosystem,50.0,5.223587284740224,3.3308957820860043,7.016148418977536,5.323717653157131,1.2556587392964502e-09,
forest_restoration,terrestrial_ecosystem,75.0,5.223590423887074,3.330902926351247,7.016149393195524,5.323718952114449,1.255658740006993e-09,
forest_restoration,terrestrial_ecosystem,100.0,5.223593563033922,3.3309100706164894,7.016150367413511,5.323720251071766,1.2556587392964502e-09,
forest_restoration,terrestrial_ecosystem,150.0,5.22359984132762,3.3309243591469744,7.016152315849486,5.3237228489863995,1.2556587396517216e-09,
forest_restoration,terrestrial_ecosystem,200.0,5.223606119621318,3.330938647677459,7.016154264285461,5.323725446901032,1.2556587396517216e-09,
sagebrush_restoration,terrestrial_ecosystem,25.0,5.2235045055223415,3.33068106558671,7.016137644911857,5.323694806068457,1.1874334877504112e-08,
sagebrush_restoration,terrestrial_ecosystem,50.0,5.223534191359534,3.3307574005966365,7.016141885745741,5.323703287736226,1.187433487714884e-08,
sagebrush_restoration,terrestrial_ecosystem,75.0,5.223563877196728,3.330833735606563,7.016146126579626,5.323711769403996,1.1874334877504112e-08,
sagebrush_restoration,terrestrial_ecosystem,100.0,5.223593563033922,3.3309100706164894,7.016150367413511,5.323720251071766,1.1874334877504112e-08,
sagebrush_restoration,terrestrial_ecosystem,150.0,5.2236529347083085,3.331062740636342,7.01615884908128,5.323737214407305,1.1874334877326475e-08,
sagebrush_restoration,terrestrial_ecosystem,200.0,5.223712306382696,3.3312154106561938,7.01616733074905,5.323754177742844,1.1874334877504112e-08,
clean_manufacturing,economic_development,25.0,5.222777296562808,3.3309100706164894,7.014191509342593,5.323230309729341,0.0010883552948186548,
