geoid,county_name,state,risk_score,eal_score,eal_valt,sovi_score,resl_score,wildfire_risk_score,wildfire_eal_score,wildfire_eal_total,wildfire_annualized_frequency,riverine_flood_risk_score,riverine_flood_eal_score,riverine_flood_eal_total,riverine_flood_annualized_frequency,drought_risk_score,drought_eal_score,drought_eal_total,drought_annualized_frequency,heat_wave_risk_score,heat_wave_eal_score,heat_wave_eal_total,heat_wave_annualized_frequency,winter_weather_risk_score,winter_weather_eal_score,winter_weather_eal_total,winter_weather_annualized_frequency,hail_risk_score,hail_eal_score,hail_eal_total,hail_annualized_frequency,strong_wind_risk_score,strong_wind_eal_score,strong_wind_eal_total,strong_wind_annualized_frequency,wrc_total_buildings,wrc_buildings_fraction_me,wrc_buildings_fraction_ie,wrc_buildings_fraction_de,wrc_bp_national_rank,wrc_risk_national_rank,mtbs_fire_count_2000_2024,mtbs_burned_acres_2000_2024
08001,Adams,CO,91.18956743002545,93.10024752475248,130863113.09041196,12.18193384,46.087786259541986,80.94783715012723,84.22391857506362,571200.3154668353,0.00118517588801117,87.21374045801527,89.88242574257426,38582842.176730864,0.6428571428571429,63.74045801526718,70.32558139534883,469937.7645425707,25.618827742695373,76.9107257546564,83.4790755777639,1670968.3942878188,0.7600795418013331,97.3901973265436,97.9876160990712,1399008.9145250022,12.43340281457419,99.71374045801527,99.7829457364341,44493445.32046116,8.161834603008861,91.76208651399492,94.32558139534883,2972460.6142490353,1.454453133680568,172122.0,0.858664203,0.029403563,0.111932234,0.5809999999999998,0.5969999999999999,2,4000.0
08005,Arapahoe,CO,93.79770992366412,94.95668316831683,171506711.71961322,18.44783715,49.395674300254456,84.70101781170484,86.92748091603053,802119.9549227217,0.001490455328910123,92.52544529262087,93.62623762376238,62030206.12196391,1.3214285714285714,44.56106870229007,49.395348837209305,117648.317550442,28.812906290504788,68.56133590237636,74.92192379762649,1025156.6966508632,0.7301937301740881,91.05665181413113,92.47678018575851,518785.77393156587,12.7014005898061,99.84096692111959,99.84496124031008,63981566.79566478,8.6155697590912,95.13358778625954,96.34108527131782,3717697.2362209973,1.4441829689875334,192251.0,0.730539763,0.136555857,0.1329043799999999,0.7259999999999999,0.7289999999999999,9,12780.0
08007,Archuleta,CO,34.478371501272264,27.568069306930692,8282920.681091903,73.72773537,22.07379134860051,94.46564885496184,93.38422391857506,2323058.943204703,0.003269291201841064,51.653944020356235,47.339108910891085,5228851.475058227,0.35714285714285715,30.852417302798983,30.883720930232556,20678.982165469246,76.16701714324904,3.307642903018625,5.840099937539038,1708.295687329532,0.017747995047570655,66.61362189688097,61.145510835913306,86373.45102595468,34.900810633639395,3.307888040712468,5.271317829457364,4848.443315914015,0.1413580864848782,4.421119592875318,6.480620155038759,22214.19676714622,0.06979583180680593,12497.0,0.002880691,0.1167480199999999,0.880371289,0.871,0.908,24,63597.0
08009,Baca,CO,23.155216284987276,11.881188118811881,4714405.915510022,95.7697201,11.354961832061068,80.75699745547074,76.11323155216286,254707.01357854015,0.0034222824738027453,6.393129770992366,3.805693069306931,545956.1862720241,0.35714285714285715,96.94656488549617,94.41860465116278,2232956.014482315,138.14119077220556,3.917790622992935,5.933791380387258,2252.8073186073593,0.10526831913690506,50.70019096117123,39.78328173374613,38420.55255680007,8.473911338994835,71.11959287531806,60.34108527131783,344808.9500653881,4.256070692210165,64.79007633587787,50.17054263565891,489386.54852990987,1.6745751380961937,5764.0,0.009541985,0.392435808,0.5980222069999999,0.8659999999999999,0.8629999999999999,73,375598.0
08013,Boulder,CO,90.71246819338423,92.69801980198021,125308344.76349029,11.38676845,91.22137404580153,97.86895674300254,98.50508905852418,15700843.33881398,0.005695919249290538,92.23918575063614,94.43069306930693,69134322.53277172,0.75,38.39058524173028,44.372093023255815,79344.58461228675,11.228501622116472,60.40462427745664,70.7682698313554,814876.3844825063,0.30520413564463056,96.05346912794398,97.21362229102168,1136287.6077939665,21.4001613081911,98.40966921119593,98.66666666666667,10314872.387869673,5.479481243434043,85.97328244274809,91.87596899224806,2287235.246049559,0.9974086441717701,119558.0,0.4746399239999999,0.2583934159999999,0.2669666609999999,0.957,0.972,10,27603.0
08014,Broomfield,CO,34.70101781170484,55.136138613861384,17098679.228494525,10.62340967,81.87022900763358,72.36005089058524,78.33969465648855,324866.4210839413,0.0007675823017539721,33.078880407124686,50.433168316831676,5877682.546593349,0.07142857142857142,15.108142493638677,17.953488372093023,1012.0994184793327,10.684537240939626,30.50738599871548,42.28607120549657,215251.47038165605,0.9085475203330483,74.69764481222153,84.21052631578947,252465.3826553908,14.068983338231037,91.41221374045801,95.03875968992249,3011909.4185231305,6.274038864769382,56.329516539440206,74.26356589147287,1010479.7895586761,1.1794377543572743,23098.0,0.88033596,0.029223309,0.090440731,0.691,0.684,3,8476.0
08015,Chaffee,CO,51.11323155216285,60.334158415841586,19972536.642742828,18.12977099,54.80279898218829,71.69211195928753,75.22264631043257,236262.65946427674,0.0008390869166649552,64.69465648854961,71.53465346534654,12753530.462360555,0.6428571428571429,30.53435114503817,34.75968992248062,32389.46890947283,40.915188677015294,7.771355170199101,11.27420362273579,14224.331079494792,0.03588492983569374,38.351368555060475,47.21362229102167,51255.134660245254,22.762982098357806,39.75826972010178,48.18604651162791,210982.38224180444,1.0821217086731838,4.707379134860051,8.558139534883722,38329.96739435364,0.12990747016707693,16755.0,0.000238735,0.436168308,0.563592957,0.5909999999999999,0.71,14,39121.0
08017,Cheyenne,CO,3.021628498727735,4.981435643564357,2961029.759856835,18.44783715,19.87913486005089,30.375318066157757,33.30152671755725,17078.153079496435,0.0004571003458749612,3.975826972010178,5.631188118811881,723313.6290752378,0.8928571428571429,74.17302798982189,78.44961240310077,783870.226083134,84.24386381631047,2.986512524084779,5.715178013741411,1488.4566475584772,0.15791036505789116,27.211966900063654,34.705882352941174,30535.8106213871,11.895299488147893,57.91984732824428,65.48837209302324,415929.08812236297,6.2467234849530096,13.61323155216285,18.88372093023256,130751.11242603432,2.493866568464053,3162.0,0.021505376,0.389310563,0.5891840609999999,0.4819999999999999,0.496,28,85119.0
08019,Clear Creek,CO,46.723918575063614,61.850247524752476,20677324.146326743,10.62340967,51.526717557251914,93.98854961832062,95.61068702290076,3806860.788237003,0.008794039557488647,40.04452926208651,55.35272277227723,6828223.2519952,0.25,0.0,0.0,0.0,25.39679465154363,0.0,0.0,0.0,0.0,32.622533418204966,45.077399380804955,46964.27973405428,36.41339645357127,74.61832061068702,81.70542635658916,964688.1177129631,5.871409766692448,10.337150127226463,16.77519379844961,106452.98839630533,0.8203675273233282,6236.0,0.000320718,0.2819114819999999,0.7177677999999998,0.915,0.952,1,2080.0
08027,Custer,CO,3.912213740458016,8.632425742574256,4068479.826099194,10.62340967,66.79389312977099,81.61577608142494,85.87786259541986,699132.5212388872,0.0016632359320184842,9.510178117048346,18.626237623762375,1879150.952464426,0.7857142857142857,32.50636132315521,38.54263565891473,48435.49847397167,68.64358229429885,3.211303789338472,6.339787632729545,2905.858096558984,0.05169549160505355,26.607256524506685,39.22600619195046,37223.759832579795,18.46902655897347,31.99745547073791,46.17054263565891,191019.402938488,2.564635809519072,5.884223918575064,10.790697674418604,58180.440319787136,0.26786288456699364,7822.0,0.0,0.072615699,0.927384301,0.8269999999999998,0.876,31,254542.0
