source_record_id,plant_name,state,county,difference,capacity_mw_existing,capacity_mw_staged,status_existing,status_staged
10262:GEN6,California Institute of Technology,CA,Los Angeles,staged_only,,10.5,,OP
10262:GEN7,California Institute of Technology,CA,Los Angeles,staged_only,,2.5,,OP
10417:TG,Indian Orchard Plant 1,MA,Hampden,staged_only,,5.7,,OP
1187:7,State Center,IA,Marshall,staged_only,,0.8,,OP
160:GT5,Apache Station,AZ,Cochise,capacity_or_status_changed,41.4,60.5,OP,OP
160:GT6,Apache Station,AZ,Cochise,capacity_or_status_changed,41.4,60.5,OP,OP
182:1,Beaver Dam (AR),AR,Carroll,existing_only,56.0,,OP,
182:2,Beaver Dam (AR),AR,Carroll,staged_only,,56.0,,OP
198:1,Bull Shoals,AR,Marion,existing_only,40.0,,OP,
198:5,Bull Shoals,AR,Marion,existing_only,45.0,,OP,
1998:2,Mountain Lake,MN,Cottonwood,existing_only,1.1,,OP,
201:3,Thomas Fitzhugh,AR,Franklin,staged_only,,71.2,,OP
2248:1A,Kimball,NE,Kimball,staged_only,,2.0,,OP
2248:2A,Kimball,NE,Kimball,staged_only,,2.0,,OP
2248:3A,Kimball,NE,Kimball,staged_only,,2.0,,OP
2248:4A,Kimball,NE,Kimball,staged_only,,2.0,,OP
2693:2,Robert Moses Niagara,NY,Niagara,staged_only,,193.5,,OP
2693:6,Robert Moses Niagara,NY,Niagara,staged_only,,193.5,,OP
286:U11,Geysers Unit 5-20,CA,Sonoma,capacity_or_status_changed,110.0,118.8,OP,OP
286:U12,Geysers Unit 5-20,CA,Sonoma,capacity_or_status_changed,110.0,118.8,OP,OP
286:U13,Geysers Unit 5-20,CA,Sonoma,capacity_or_status_changed,138.0,139.8,OP,OP
286:U14,Geysers Unit 5-20,CA,Sonoma,capacity_or_status_changed,113.0,124.2,OP,OP
286:U16,Geysers Unit 5-20,CA,Sonoma,capacity_or_status_changed,118.0,124.2,OP,OP
286:U17,Geysers Unit 5-20,CA,Sonoma,capacity_or_status_changed,118.0,124.2,OP,OP
286:U18,Geysers Unit 5-20,CA,Sonoma,capacity_or_status_changed,118.0,124.2,OP,OP
286:U20,Geysers Unit 5-20,CA,Sonoma,capacity_or_status_changed,118.0,124.2,OP,OP
286:U5,Geysers Unit 5-20,CA,Sonoma,capacity_or_status_changed,55.0,59.4,OP,OP
286:U6,Geysers Unit 5-20,CA,Sonoma,capacity_or_status_changed,55.0,59.4,OP,OP
286:U7,Geysers Unit 5-20,CA,Sonoma,capacity_or_status_changed,55.0,59.4,OP,OP
286:U8,Geysers Unit 5-20,CA,Sonoma,capacity_or_status_changed,55.0,59.4,OP,OP
3006:GEN1,Anadarko Plant,OK,Caddo,staged_only,,45.0,,OP
3006:GEN2,Anadarko Plant,OK,Caddo,staged_only,,45.0,,OP
322:1,Big Creek 2A,CA,Fresno,staged_only,,55.0,,OP
332:1,Fontana,CA,San Bernardino,existing_only,1.5,,OP,
332:2,Fontana,CA,San Bernardino,existing_only,1.5,,OP,
3612:1,V H Braunig,TX,Bexar,existing_only,225.0,,OP,
3612:2,V H Braunig,TX,Bexar,existing_only,252.0,,OP,
3612:3,V H Braunig,TX,Bexar,existing_only,417.0,,OP,
3883:C-10,Rocky Reach,WA,Chelan,staged_only,,137.8,,OP
3883:C-11,Rocky Reach,WA,Chelan,staged_only,,137.8,,OP
3883:C-8,Rocky Reach,WA,Chelan,capacity_or_status_changed,125.4,137.8,OP,OP
3883:C-9,Rocky Reach,WA,Chelan,capacity_or_status_changed,125.4,137.8,OP,OP
394:2,Cottonwood,CA,Inyo,staged_only,,0.8,,OP
398:1,Haiwee,CA,Inyo,staged_only,,2.8,,OP
4014:WHT08,Wheaton,WI,Chippewa,staged_only,,249.1,,OP
406:10,Tok,AK,Southeast Fairbanks,existing_only,2.5,,OP,
406:3A,Tok,AK,Southeast Fairbanks,existing_only,1.3,,OP,
406:8,Tok,AK,Southeast Fairbanks,existing_only,0.4,,OP,
406:8A,Tok,AK,Southeast Fairbanks,staged_only,,0.6,,OP
406:9,Tok,AK,Southeast Fairbanks,existing_only,0.9,,OP,
406:9A,Tok,AK,Southeast Fairbanks,staged_only,,1.1,,OP
4142:1,Flambeau Hydroelectric Station,WI,Rusk,capacity_or_status_changed,7.9,6.4,OP,OP
4142:2,Flambeau Hydroelectric Station,WI,Rusk,capacity_or_status_changed,6.2,6.3,OP,OP
4142:3,Flambeau Hydroelectric Station,WI,Rusk,capacity_or_status_changed,7.9,6.4,OP,OP
423:1A,Hydaburg,AK,Prince of Wales Ketchikan,existing_only,0.4,,OP,
423:5,Hydaburg,AK,Prince of Wales Ketchikan,existing_only,0.3,,OP,
466:1A,Boulder Canyon Hydro,CO,Boulder,staged_only,,5.0,,OP
50392:TG6,Eielson AFB Central Heat & Power Plant,AK,Fairbanks North Star,capacity_or_status_changed,,10.0,OP,OP
50421:201,Orchard Avenue 1,WA,Yakima,staged_only,,0.8,,OP
50421:301,Orchard Avenue 1,WA,Yakima,staged_only,,0.8,,OP
50423:983,Cowiche,WA,Yakima,staged_only,,1.7,,OP
50721:GEN3,Tazewell Gas Recovery,IL,Tazewell,existing_only,0.8,,OP,
50766:ITLU2,Ormesa I,CA,Imperial,existing_only,12.0,,OP,
50936:EG2R,Winnebago County Landfill Gas,WI,Winnebago,existing_only,0.6,,OP,
50936:EG3,Winnebago County Landfill Gas,WI,Winnebago,existing_only,0.9,,OP,
52149:GEN19,West Point (PA),PA,Montgomery,existing_only,1.0,,OP,
52149:GEN20,West Point (PA),PA,Montgomery,existing_only,2.0,,OP,
54324:GEN1,Ocean State Power II,RI,Providence,capacity_or_status_changed,82.8,97.3,OP,OP
54324:GEN2,Ocean State Power II,RI,Providence,capacity_or_status_changed,82.8,97.3,OP,OP
54324:GEN3,Ocean State Power II,RI,Providence,capacity_or_status_changed,88.6,112.0,OP,OP
54464:0002,Graphic Packaging Intl Macon Mill,GA,Bibb,existing_only,5.0,,OP,
54477:GEN7,"Oroville Cogeneration, LLC",CA,Butte,staged_only,,1.1,,OP
54813:8,Shepherd Center,GA,Fulton,existing_only,3.8,,OP,
54909:EXI2,Tehachapi Wind Resource II,CA,Kern,capacity_or_status_changed,8.3,8.6,OP,OP
54909:EXIS,Tehachapi Wind Resource II,CA,Kern,capacity_or_status_changed,13.6,0.3,OP,OP
54909:PLAN,Tehachapi Wind Resource II,CA,Kern,capacity_or_status_changed,15.5,11.2,OP,OP
55077:ED02,Desert Star Energy Center,NV,Clark,existing_only,170.9,,OP,
55094:UNT2,MM San Diego-Miramar,CA,San Diego,capacity_or_status_changed,1.6,1.9,OP,OP
55094:UNT3,MM San Diego-Miramar,CA,San Diego,capacity_or_status_changed,1.6,1.9,OP,OP
55094:UNT4,MM San Diego-Miramar,CA,San Diego,capacity_or_status_changed,1.6,1.9,OP,OP
55137:CTG1,Rio Nogales Power Project,TX,Guadalupe,capacity_or_status_changed,189.0,223.5,OP,OP
55137:CTG2,Rio Nogales Power Project,TX,Guadalupe,capacity_or_status_changed,189.0,222.0,OP,OP
55137:CTG3,Rio Nogales Power Project,TX,Guadalupe,capacity_or_status_changed,189.0,223.5,OP,OP
55137:STG1,Rio Nogales Power Project,TX,Guadalupe,capacity_or_status_changed,373.2,439.0,OP,OP
55199:GT1,Elwood Energy LLC,IL,Will,existing_only,192.0,,OP,
55199:GT2,Elwood Energy LLC,IL,Will,existing_only,192.0,,OP,
55199:GT3,Elwood Energy LLC,IL,Will,existing_only,192.0,,OP,
55199:GT4,Elwood Energy LLC,IL,Will,existing_only,192.0,,OP,
55556:GEN5,Security,TX,Montgomery,existing_only,1.7,,OP,
55556:UNT2,Security,TX,Montgomery,existing_only,1.7,,OP,
55597:4,GRS C&C,MI,Calhoun,capacity_or_status_changed,2.7,3.0,OP,OP
55655:GEN1,WFEC GenCo LLC,OK,Caddo,existing_only,45.0,,OP,
55655:GEN2,WFEC GenCo LLC,OK,Caddo,existing_only,45.0,,OP,
55782:WH01,Noble Ridge LLC,MN,Nobles,existing_only,1.5,,OP,
55938:OPP3,NAEA Ocean Peaking Power LLC,NJ,Ocean,capacity_or_status_changed,191.5,198.9,OP,OP
55938:OPP4,NAEA Ocean Peaking Power LLC,NJ,Ocean,capacity_or_status_changed,191.5,198.9,OP,OP
55977:RICE3,Bluffview,NM,San Juan,staged_only,,9.4,,OP
55977:RICE4,Bluffview,NM,San Juan,staged_only,,9.4,,OP
56120:L4,Lee County Landfill,SC,Lee,existing_only,5.5,,OP,
56122:R1,Richland County Landfill,SC,Richland,existing_only,5.7,,OP,
56591:HBWP,Horseshoe Bend Wind Park,MT,Cascade,capacity_or_status_changed,9.0,9.7,OP,OP
56800:HW2,Hull Wind II,MA,Plymouth,existing_only,1.8,,OP,
56915:5,SAS Solar Farm,NC,Wake,staged_only,,1.0,,OP
56982:BM1,NGP Blue Mountain I LLC,NV,Humboldt,capacity_or_status_changed,21.3,15.0,OP,OP
56982:BM2,NGP Blue Mountain I LLC,NV,Humboldt,capacity_or_status_changed,21.3,15.0,OP,OP
56982:BM3,NGP Blue Mountain I LLC,NV,Humboldt,capacity_or_status_changed,21.3,15.0,OP,OP
57128:357,G2 Energy Marion LLC,FL,Marion,existing_only,1.6,,OP,
57254:1PV,Victor Valley CC CPV Solar,CA,San Bernardino,existing_only,1.0,,OP,
57264:LP2,Little Pringle II Wind Farm,TX,Hutchinson,existing_only,10.0,,OP,
57365:1A,"Mas Durham Power, LLC",NC,Durham,staged_only,,1.1,,OP
57584:BS1,University of California San Diego Hybri,CA,San Diego,existing_only,2.5,,OP,
57679:AVSE1,Arlington Valley Solar Energy I,AZ,Maricopa,staged_only,,127.0,,OP
57896:UNT1,Concord Energy,NC,Cabarrus,capacity_or_status_changed,4.8,5.5,OP,OP
57896:UNT2,Concord Energy,NC,Cabarrus,capacity_or_status_changed,4.8,5.5,OP,OP
57945:B1,Berkeley County Landfill,SC,Berkeley,existing_only,1.6,,OP,
57945:B2,Berkeley County Landfill,SC,Berkeley,existing_only,1.6,,OP,
57950:1,MSC Croswell,MI,Sanilac,existing_only,1.3,,OP,
58011:IKEA,IKEA Savannah 490,GA,Chatham,existing_only,1.0,,OP,
58012:PV,IKEA Tampa 042,FL,Hillsborough,existing_only,1.0,,OP,
58013:PV,IKEA Round Rock 027,TX,Williamson,existing_only,1.4,,OP,
58064:LBFS,Laredo Bus Facility Solar Canopies,GA,DeKalb,staged_only,,1.0,,OP
58191:GT1,US Magnesium,UT,Tooele,existing_only,16.0,,OP,
58191:GT3,US Magnesium,UT,Tooele,existing_only,16.0,,OP,
58192:ST961,Arkalon Ethanol LLC,KS,Seward,staged_only,,3.0,,OP
58382:GEN1,Threemile Digester,OR,Morrow,existing_only,1.6,,OP,
58382:GEN2,Threemile Digester,OR,Morrow,existing_only,1.6,,OP,
58382:GEN3,Threemile Digester,OR,Morrow,existing_only,1.6,,OP,
58413:CXS01,Copper Crossing Energy and Research Cent,AZ,Pinal,staged_only,,17.6,,OP
58413:CXS02,Copper Crossing Energy and Research Cent,AZ,Pinal,staged_only,,17.6,,OP
58413:CXS03,Copper Crossing Energy and Research Cent,AZ,Pinal,staged_only,,19.2,,OP
58428:1-02,LSU Cogen,LA,East Baton Rouge,staged_only,,19.6,,OP
58747:GEN1,Viresco Turtle Lake,WI,Polk,staged_only,,1.6,,OP
58818:2,Milan,PA,Bradford,staged_only,,7.0,,OP
58818:3,Milan,PA,Bradford,staged_only,,7.0,,OP
58822:U1BB,Millville City Sewer Auth WTP,NJ,Cumberland,staged_only,,0.8,,OP
58822:U2DB,Millville City Sewer Auth WTP,NJ,Cumberland,staged_only,,0.4,,OP
58824:I402,Sheldon Solar,VT,Franklin,staged_only,,2.3,,OP
58825:STH1,MTHS Co-Gen Buildings,IL,Cook,staged_only,,0.6,,OP
58825:STH2,MTHS Co-Gen Buildings,IL,Cook,staged_only,,0.6,,OP
58828:PV1,Apple One,NC,Catawba,staged_only,,5.0,,OP
58829:PV1,Sonne Two,NC,Catawba,staged_only,,5.0,,OP
58830:CWEP,Cross Winds Energy Park,MI,Tuscola,staged_only,,111.0,,OP
58830:CWEP2,Cross Winds Energy Park,MI,Tuscola,staged_only,,44.0,,OP
58830:CWEP3,Cross Winds Energy Park,MI,Tuscola,staged_only,,75.9,,OP
58831:PV-1,Redcrest Solar Farm,CA,Kern,staged_only,,16.6,,OP
58832:CTEP,Cogenra - TEP,AZ,Pima,staged_only,,1.0,,OP
58833:RH2S,Red Horse 2,AZ,Cochise,staged_only,,51.0,,OP
58833:RH2W,Red Horse 2,AZ,Cochise,staged_only,,30.0,,OP
58834:UNIT1,Richland Center Renewable Energy LLC,WI,Richland,staged_only,,0.9,,OP
58834:UNIT2,Richland Center Renewable Energy LLC,WI,Richland,staged_only,,0.9,,OP
58835:ELK1,Elk Station,TX,Hale,staged_only,,199.8,,OP
58835:ELK2,Elk Station,TX,Hale,staged_only,,199.8,,OP
58835:ELK3,Elk Station,TX,Hale,staged_only,,199.8,,OP
58836:LW1,Lakeswind Power Partners,MN,Clay,staged_only,,51.8,,OP
58837:WT1,Na Pua Makani Wind Project,HI,Honolulu,staged_only,,27.6,,OP
58838:KW1,Keechi Wind,TX,Jack,staged_only,,110.0,,OP
58839:INV1,Sudbury Landfill,MA,Middlesex,staged_only,,0.5,,OP
58839:INV2,Sudbury Landfill,MA,Middlesex,staged_only,,0.3,,OP
58839:INV3,Sudbury Landfill,MA,Middlesex,staged_only,,0.5,,OP
58840:INV1,"Kenansville Solar Farm, LLC",NC,Duplin,staged_only,,0.5,,OP
58840:INV2,"Kenansville Solar Farm, LLC",NC,Duplin,staged_only,,0.5,,OP
58840:INV3,"Kenansville Solar Farm, LLC",NC,Duplin,staged_only,,0.5,,OP
58840:INV4,"Kenansville Solar Farm, LLC",NC,Duplin,staged_only,,0.5,,OP
58840:INV5,"Kenansville Solar Farm, LLC",NC,Duplin,staged_only,,0.5,,OP
58840:INV6,"Kenansville Solar Farm, LLC",NC,Duplin,staged_only,,0.5,,OP
58840:INV7,"Kenansville Solar Farm, LLC",NC,Duplin,staged_only,,0.5,,OP
58840:INV8,"Kenansville Solar Farm, LLC",NC,Duplin,staged_only,,0.5,,OP
58840:INV9,"Kenansville Solar Farm, LLC",NC,Duplin,staged_only,,0.5,,OP
58842:1,"Gato Montes Solar, LLC",AZ,Pima,staged_only,,5.0,,OP
58843:1,"Bethel Price Solar, LLC",NC,Pitt,staged_only,,5.0,,OP
58844:1,"Dogwood Solar, LLC",NC,Halifax,staged_only,,20.0,,OP
58845:1,Washington Airport Solar LLC,NC,Beaufort,staged_only,,5.0,,OP
58846:1,"Washington Millfield Solar, LLC",NC,Beaufort,staged_only,,5.0,,OP
58847:1,"Windsor Cooper HIill Solar, LLC",NC,Bertie,staged_only,,5.0,,OP
58848:1,Warsaw Farm,NC,Duplin,staged_only,,65.0,,OP
58849:1,Castalia Solar,NC,Nash,staged_only,,2.0,,OP
58851:1,Oakboro Farm,NC,Scotland,staged_only,,5.0,,OP
58853:1,McKenzie Farm,NC,Columbus,staged_only,,5.0,,OP
58854:1,Nash 58 Farm,NC,Nash,staged_only,,5.0,,OP
58855:1,Nash 64 Farm,NC,Nash,staged_only,,5.0,,OP
58856:1,Pate Farm,NC,Robeson,staged_only,,5.0,,OP
58859:1,Erwin Farm,NC,Harnett,staged_only,,5.0,,OP
58861:1,Sigmon Catawba Farm,NC,Catawba,staged_only,,5.0,,OP
58862:1,Wagstaff Farm 1,NC,Person,staged_only,,5.0,,OP
58863:1,Waco Farm,NC,Cleveland,staged_only,,5.0,,OP
58864:1,Sunfish Farm,NC,Wake,staged_only,,5.0,,OP
58865:LFG,Reventure Park,NC,Mecklenburg,staged_only,,1.9,,OP
58865:RNG,Reventure Park,NC,Mecklenburg,staged_only,,1.6,,OP
58866:1,Garrell Solar Farm,NC,Columbus,staged_only,,5.0,,OP
58867:1,Angier Farm,NC,Harnett,staged_only,,5.0,,OP
58868:1,Bladenboro Farm,NC,Bladen,staged_only,,5.0,,OP
58870:MG202,Rentech Nitrogen Pasadena Cogeneration,TX,Harris,staged_only,,15.4,,OP
58871:1,Berkley East Solar LLC,MA,Bristol,staged_only,,3.0,,OP
58872:BISO4,Bison 4 Wind Energy Center,ND,Morton,staged_only,,205.0,,OP
58873:UNIT1,Stuyvesant Falls,NY,Columbia,staged_only,,3.0,,OP
58873:UNIT2,Stuyvesant Falls,NY,Columbia,staged_only,,3.0,,OP
58874:DF1,Dement Farm LLC,NC,Vance,staged_only,,5.0,,OP
58876:PV,Fusion Solar Center LLC,CT,New London,staged_only,,20.0,,OP
58877:KINS,Kinsley Landfill Solar,NJ,Gloucester,staged_only,,8.6,,OP
58879:DF,Duplin Solar LLC,NC,Duplin,staged_only,,5.0,,OP
58880:NCIII,North Carolina Solar III LLC,NC,Scotland,staged_only,,4.9,,OP
58881:PV01,County College of Morris,NJ,Morris,staged_only,,2.9,,OP
58882:PV01,Mercer County Community College,NJ,Mercer,staged_only,,7.5,,OP
58883:HLWF,Highland Wind Project (IA),IA,O'Brien,staged_only,,16.4,,OP
58883:HLWF2,Highland Wind Project (IA),IA,O'Brien,staged_only,,100.8,,OP
58883:HLWF3,Highland Wind Project (IA),IA,O'Brien,staged_only,,89.1,,OP
58883:HLWF4,Highland Wind Project (IA),IA,O'Brien,staged_only,,89.2,,OP
58883:HLWF5,Highland Wind Project (IA),IA,O'Brien,staged_only,,115.0,,OP
58883:HLWF6,Highland Wind Project (IA),IA,O'Brien,staged_only,,86.8,,OP
58883:HLWF7,Highland Wind Project (IA),IA,O'Brien,staged_only,,4.7,,OP
58884:LGWF,Lundgren Wind Project,IA,Webster,staged_only,,270.9,,OP
58885:MBWF,Macksburg Wind Project,IA,Madison,staged_only,,119.6,,OP
58886:WBWF,Wellsburg Wind Project,IA,Grundy,staged_only,,140.8,,OP
58887:EVE,Com Adam 1WF-1,IL,Lee,staged_only,,2.5,,OP
58889:ASTI,ASTI,CA,Sonoma,staged_only,,1.2,,OP
58890:BERI,Beringer,CA,Sonoma,staged_only,,1.4,,OP
58891:BTWF1,"Big Turtle Wind Farm, LLC",MI,Huron,staged_only,,20.0,,OP
58892:CMLA,Camilla Solar Plant,GA,Mitchell,staged_only,,16.0,,OP
58893:CAMP,Camp Solar Plant,GA,Meriwether,staged_only,,2.4,,OP
58896:PV01,Patriots Stadium,NJ,Somerset,staged_only,,1.0,,OP
58897:19G01,Temple SEGF,PA,Philadelphia,staged_only,,1.6,,OP
58897:19G02,Temple SEGF,PA,Philadelphia,staged_only,,1.6,,OP
58897:19G03,Temple SEGF,PA,Philadelphia,staged_only,,1.6,,OP
58897:19G04,Temple SEGF,PA,Philadelphia,staged_only,,1.6,,OP
58897:19G05,Temple SEGF,PA,Philadelphia,staged_only,,1.6,,OP
58897:19G06,Temple SEGF,PA,Philadelphia,staged_only,,1.6,,OP
58897:19G07,Temple SEGF,PA,Philadelphia,staged_only,,1.6,,OP
58897:19G08,Temple SEGF,PA,Philadelphia,staged_only,,1.6,,OP
58897:19G09,Temple SEGF,PA,Philadelphia,staged_only,,1.6,,OP
58897:19G10,Temple SEGF,PA,Philadelphia,staged_only,,1.6,,OP
58898:K4-1,Pilot Hill Wind Farm,IL,Kankakee,staged_only,,175.0,,OP
58899:GEN-1,Prosperity Energy Storage Facility Hybri,NM,Bernalillo,staged_only,,0.5,,OP
58899:GEN-2,Prosperity Energy Storage Facility Hybri,NM,Bernalillo,staged_only,,0.8,,OP
58900:BAL1,Balko Wind LLC,OK,Beaver,staged_only,,299.7,,OP
58901:TCWG1,Tri-County Water Hydropower Project,CO,Ouray,staged_only,,7.2,,OP
58901:TCWG2,Tri-County Water Hydropower Project,CO,Ouray,staged_only,,0.8,,OP
58902:KNG1,Kingfisher Wind LLC,OK,Kingfisher,staged_only,,298.0,,OP
58904:1,Fourmile Ridge,MD,Garrett,staged_only,,40.0,,OP
58906:VC1,Valley Center 1,CA,San Diego,staged_only,,2.5,,OP
58907:VC2,Valley Center 2,CA,San Diego,staged_only,,5.0,,OP
58908:1,Beebe 1B,MI,Gratiot,staged_only,,50.4,,OP
58909:RAM1,Ramona 1,CA,San Diego,staged_only,,2.0,,OP
58911:RAM2,Ramona 2,CA,San Diego,staged_only,,5.0,,OP
58912:1,Santa Fe Springs Rooftop Solar BLDG M,CA,Los Angeles,staged_only,,1.8,,OP
58913:1,Santa Fe Springs Rooftop Solar BLDG H,CA,Los Angeles,staged_only,,1.5,,OP
58914:CG1,MCAGCC Cogen Plant,CA,San Bernardino,staged_only,,7.2,,OP
58914:CG100,MCAGCC Cogen Plant,CA,San Bernardino,staged_only,,4.6,,OP
58914:CG200,MCAGCC Cogen Plant,CA,San Bernardino,staged_only,,4.6,,OP
58915:1,Copper Mountain Solar 3,NV,Clark,staged_only,,26.0,,OP
58915:10,Copper Mountain Solar 3,NV,Clark,staged_only,,21.0,,OP
58915:2,Copper Mountain Solar 3,NV,Clark,staged_only,,27.0,,OP
58915:3,Copper Mountain Solar 3,NV,Clark,staged_only,,26.0,,OP
58915:4,Copper Mountain Solar 3,NV,Clark,staged_only,,28.0,,OP
58915:5,Copper Mountain Solar 3,NV,Clark,staged_only,,25.0,,OP
58915:6,Copper Mountain Solar 3,NV,Clark,staged_only,,26.0,,OP
58915:7,Copper Mountain Solar 3,NV,Clark,staged_only,,26.0,,OP
58915:8,Copper Mountain Solar 3,NV,Clark,staged_only,,26.0,,OP
58915:9,Copper Mountain Solar 3,NV,Clark,staged_only,,24.0,,OP
58918:2081,2081 Terzian Solar Project,CA,Fresno,staged_only,,1.2,,OP
58919:2127,2127 Harris Solar Project,CA,Butte,staged_only,,1.3,,OP
58920:2097,2097 Helton Solar Project,CA,Merced,staged_only,,1.5,,OP
58924:SUG1,Sugar Creek Wind One LLC,IL,Logan,staged_only,,202.0,,OP
58925:SAN1,Lincoln Land Wind,IL,Sangamon,staged_only,,302.0,,OP
58927:WT01,Story City Wind Project,IA,Story,staged_only,,1.5,,OP
58929:12286,Melrose 2,MN,Stearns,staged_only,,1.0,,OP
58932:WT01,Traer Wind Project,IA,Tama,staged_only,,1.5,,OP
58933:GTG1,Shell Chemical Appalachia LLC,PA,Beaver,staged_only,,48.4,,OP
58933:GTG2,Shell Chemical Appalachia LLC,PA,Beaver,staged_only,,48.4,,OP
58933:GTG3,Shell Chemical Appalachia LLC,PA,Beaver,staged_only,,48.4,,OP
58933:STG1,Shell Chemical Appalachia LLC,PA,Beaver,staged_only,,82.3,,OP
58933:STG2,Shell Chemical Appalachia LLC,PA,Beaver,staged_only,,82.3,,OP
58934:ASH-R,"Integrys MA Solar, LLC - Ashburnham Site",MA,Worcester,staged_only,,2.6,,OP
58934:ASH10,"Integrys MA Solar, LLC - Ashburnham Site",MA,Worcester,staged_only,,0.3,,OP
58935:PV,Open View Solar Farm,VT,Addison,staged_only,,2.0,,OP
58936:WLPL1,Walpole Solar 2,MA,Norfolk,staged_only,,2.4,,OP
58937:GRDN1,Gardner Solar 1,MA,Worcester,staged_only,,2.0,,OP
58938:WT,Origin Wind,OK,Murray,staged_only,,150.0,,OP
58939:AND1,Anderson Wind I,NM,Chaves,staged_only,,5.0,,OP
58940:AND2,Anderson Wind II,NM,Chaves,staged_only,,10.0,,OP
58942:RVSI,Rockville Solar I LLC,IN,Marion,staged_only,,2.8,,OP
58943:1,Halifax (NC),NC,Halifax,staged_only,,20.0,,OP
58946:ENG1,Ameresco Dallas LLC,TX,Dallas,staged_only,,1.4,,OP
58946:ENG2,Ameresco Dallas LLC,TX,Dallas,staged_only,,1.4,,OP
58946:ENG3,Ameresco Dallas LLC,TX,Dallas,staged_only,,1.4,,OP
58947:TG101,Bristol Myers Squibb Lawrenceville,NJ,Mercer,staged_only,,4.3,,OP
58947:TG102,Bristol Myers Squibb Lawrenceville,NJ,Mercer,staged_only,,5.6,,OP
58949:TBD,Cloverdale Solar I,CA,Sonoma,staged_only,,1.5,,OP
58951:DRLS,Delilah Road Landfill,NJ,Atlantic,staged_only,,8.5,,OP
58952:DESS,Dessie Solar Center LLC,NC,Columbus,staged_only,,4.8,,OP
58953:RVSII,"Rockville Solar II, LLC",IN,Marion,staged_only,,2.7,,OP
58954:PV,Intel Folsom Phase 2,CA,Sacramento,staged_only,,1.0,,OP
58955:BEAR,BearPond Solar Center LLC,NC,Vance,staged_only,,4.8,,OP
58956:SHAN,Shankle Solar Center LLC,NC,Hoke,staged_only,,4.8,,OP
58957:GRAH,Graham Solar Center LLC,NC,Columbus,staged_only,,4.8,,OP
58958:CMLTW,Camelot Wind LLC,MA,Plymouth,staged_only,,1.5,,OP
58959:BSF1,Butler Solar Power Project,MO,Bates,staged_only,,2.8,,OP
58960:S200,Laguna Water Reclamation Facility,CA,Sonoma,staged_only,,1.1,,OP
58960:S201,Laguna Water Reclamation Facility,CA,Sonoma,staged_only,,1.1,,OP
58960:S202,Laguna Water Reclamation Facility,CA,Sonoma,staged_only,,1.1,,OP
58960:S203,Laguna Water Reclamation Facility,CA,Sonoma,staged_only,,1.1,,OP
58961:PV,Oregon University System OIT Klamath Fal,OR,Klamath,staged_only,,1.7,,OP
58963:PV,Las Virgenes Municipal Water District,CA,Los Angeles,staged_only,,1.0,,OP
58964:PV1,Technology Drive Solar,VT,Windham,staged_only,,2.0,,OP
58965:2,"Thunder Spirit Wind, LLC",ND,Adams,staged_only,,48.0,,OP
58965:THNDR,"Thunder Spirit Wind, LLC",ND,Adams,staged_only,,107.5,,OP
58966:T 1-6,Fairfield Wind,MT,Teton,staged_only,,10.0,,OP
58972:FHUA2,Fort Huachuca Solar PV Project,AZ,Cochise,staged_only,,4.1,,OP
58972:FHUAC,Fort Huachuca Solar PV Project,AZ,Cochise,staged_only,,13.6,,OP
58973:W2CA,White River Solar 2,CA,Tulare,staged_only,,19.8,,OP
58974:PV1,Fairview Farms Solar,MA,Franklin,staged_only,,2.0,,OP
58975:PV1,Henrietta Solar Project,CA,Kings,staged_only,,102.0,,OP
58977:WPG-1,Whitman,AK,Ketchikan Gateway,staged_only,,3.9,,OP
58977:WPG-2,Whitman,AK,Ketchikan Gateway,staged_only,,0.9,,OP
58979:CPHGN,Copenhagen Wind Farm,NY,Lewis,staged_only,,79.9,,OP
58980:2G-1,Akron WRF,OH,Summit,staged_only,,0.6,,OP
58980:2G-2,Akron WRF,OH,Summit,staged_only,,0.6,,OP
58980:2G-3,Akron WRF,OH,Summit,staged_only,,0.6,,OP
58981:BBII,"Broken Bow Wind II, LLC",NE,Custer,staged_only,,73.1,,OP
58982:GEN1,Allison Creek Hydro,AK,Valdez Cordova,staged_only,,6.5,,OP
58983:1,RE Camelot LLC,CA,Kern,staged_only,,45.0,,OP
58984:1,"RE Adams East, LLC",CA,Fresno,staged_only,,19.0,,OP
58985:1,"RE Kansas Solar, LLC",CA,Kings,staged_only,,20.0,,OP
58986:1,"RE Old River One, LLC",CA,Kern,staged_only,,20.0,,OP
58989:EGS01,Eklutna Generation Station,AK,Anchorage,staged_only,,17.1,,OP
58989:EGS02,Eklutna Generation Station,AK,Anchorage,staged_only,,17.1,,OP
58989:EGS03,Eklutna Generation Station,AK,Anchorage,staged_only,,17.1,,OP
58989:EGS04,Eklutna Generation Station,AK,Anchorage,staged_only,,17.1,,OP
58989:EGS05,Eklutna Generation Station,AK,Anchorage,staged_only,,17.1,,OP
58989:EGS06,Eklutna Generation Station,AK,Anchorage,staged_only,,17.1,,OP
58989:EGS07,Eklutna Generation Station,AK,Anchorage,staged_only,,17.1,,OP
58989:EGS08,Eklutna Generation Station,AK,Anchorage,staged_only,,17.1,,OP
58989:EGS09,Eklutna Generation Station,AK,Anchorage,staged_only,,17.1,,OP
58989:EGS10,Eklutna Generation Station,AK,Anchorage,staged_only,,17.1,,OP
