registry_facility_id,eia_plant_code,geoid,facility_cap_50km_mw,county_gen_cap_50km_mw,facility_share,global_min_gen_cap_50km_mw,global_max_gen_cap_50km_mw,ec_slope,delta
eia860_10138_30009,10138,30009,2.0,303.9827430718647,0.006579320851536559,0.0,5796.9,0.00028750999097218634,0.0005750199819443727
eia860_10138_30009,10138,30095,1.3000668300289597,483.88968589886383,0.002686700849211079,0.0,5796.9,0.00028750999097218634,0.00037378220256486513
eia860_10422_08049,10422,08037,0.8018867924528302,46.15302964959569,0.017374521207837,0.0,5796.9,0.00028750999097218634,0.00023055046445882868
eia860_10422_08049,10422,08049,3.5,244.48626303739508,0.014315732738999172,0.0,5796.9,0.00028750999097218634,0.0010062849684026522
eia860_10422_08049,10422,08117,1.1990793086738813,354.80642868680343,0.003379530954700764,0.0,5796.9,0.00028750999097218634,0.00034474728121176303
eia860_10423_08093,10423,08019,5.5,1062.0614059342763,0.005178608288813347,0.0,5796.9,0.00028750999097218634,0.0015813049503470248
eia860_10423_08093,10423,08047,5.5,1666.264788251366,0.003300795911178009,0.0,5796.9,0.00028750999097218634,0.0015813049503470248
eia860_10423_08093,10423,08049,1.0360595268379547,244.48626303739508,0.0042377003679731715,0.0,5796.9,0.00028750999097218634,0.000297877465207828
eia860_10423_08093,10423,08059,1.021725100130977,3231.9013993314816,0.0003161374602400682,0.0,5796.9,0.00028750999097218634,0.0002937561743147134
eia860_10423_08093,10423,08093,4.633289765300904,374.3606126044212,0.012376541786987622,0.0,5796.9,0.00028750999097218634,0.0013321170985931862
eia860_10423_08093,10423,08117,5.273283799063156,354.80642868680343,0.014862424614402962,0.0,5796.9,0.00028750999097218634,0.0015161217774624246
eia860_10682_08087,10682,08087,211.6,1191.8998037527972,0.17753170135086818,0.0,5796.9,0.00028750999097218634,0.06083711408971463
eia860_10682_08087,10682,08121,118.69279634627361,616.7379281710608,0.1924525652220833,0.0,5796.9,0.00028750999097218634,0.034125364805980676
eia860_2176_30021,2176,30021,83.7,83.7,1.0,0.0,5796.9,0.00028750999097218634,0.024064586244371997
eia860_2176_30021,2176,30109,83.7,83.7,1.0,0.0,5796.9,0.00028750999097218634,0.024064586244371997
eia860_2177_30017,2177,30017,23.300000000000004,192.93054277828887,0.12076885113403638,0.0,5796.9,0.00028750999097218634,0.006698982789651943
eia860_2191_30013,2191,30013,42.688703800104115,299.98882526461915,0.14230097991966384,0.0,5796.9,0.00028750999097218634,0.01227342884418227
eia860_2192_30095,2192,30009,5.398590887740723,303.9827430718647,0.0177595307983139,0.0,5796.9,0.00028750999097218634,0.0015521488173968628
eia860_2192_30095,2192,30095,2.536867899309423,483.88968589886383,0.005242657517274806,0.0,5796.9,0.00028750999097218634,0.0007293748668280815
eia860_2204_30003,2204,30003,76.61657754010697,147.4375859434683,0.5196543137208169,0.0,5796.9,0.00028750999097218634,0.02202803151687597
eia860_2204_30003,2204,30111,8.633874241801793,364.2662296706218,0.02370209901040991,0.0,5796.9,0.00028750999097218634,0.0024823251053154257
eia860_2230_31049,2230,08115,1.1,271.5,0.004051565377532229,0.0,5796.9,0.00028750999097218634,0.000316260990069405
eia860_2230_31049,2230,31033,1.1,767.6528612077141,0.0014329393604674632,0.0,5796.9,0.00028750999097218634,0.000316260990069405
eia860_2230_31049,2230,31049,1.1,175.4,0.006271379703534778,0.0,5796.9,0.00028750999097218634,0.000316260990069405
eia860_3325_46103,3325,46033,110.0,121.45273047563124,0.9057021572855526,0.0,5796.9,0.00028750999097218634,0.031626099006940495
eia860_3325_46103,3325,46081,16.495565708142973,31.007332898222444,0.5319891834066326,0.0,5796.9,0.00028750999097218634,0.004742639947829292
eia860_3325_46103,3325,46093,89.30296963630298,161.72766099432766,0.5521811735064611,0.0,5796.9,0.00028750999097218634,0.0256754959939229
eia860_3325_46103,3325,46103,106.6487598064972,269.06319641983583,0.39637067137226223,0.0,5796.9,0.00028750999097218634,0.030662583969160877
eia860_3699_49017,3699,49017,4.199999999999999,4.199999999999999,1.0,0.0,5796.9,0.00028750999097218634,0.0012075419620831823
eia860_3704_49013,3704,49013,1.2,1.2,1.0,0.0,5796.9,0.00028750999097218634,0.0003450119891666236
eia860_3704_49013,3704,49047,0.8008527156447867,537.1920201088167,0.0014908127553394433,0.0,5796.9,0.00028750999097218634,0.00023025315704508351
eia860_4162_56023,4162,56023,191.46634333636456,276.24625644134585,0.6931002280460505,0.0,5796.9,0.00028750999097218634,0.055048486644115706
eia860_4176_56025,4176,56025,5.239413377606722,1330.5325774155408,0.003937831712308681,0.0,5796.9,0.00028750999097218634,0.001506383692895261
eia860_467_08019,467,08013,9.681188347765763,4742.997819009426,0.002041153868754609,0.0,5796.9,0.00028750999097218634,0.0027834383744661704
eia860_467_08019,467,08019,300.0,1062.0614059342763,0.28246954302618255,0.0,5796.9,0.00028750999097218634,0.0862529972916559
eia860_467_08019,467,08047,300.0,1666.264788251366,0.18004341333698232,0.0,5796.9,0.00028750999097218634,0.0862529972916559
eia860_467_08019,467,08049,126.3037395064869,244.48626303739508,0.5166087367745822,0.0,5796.9,0.00028750999097218634,0.03631358700526342
eia860_467_08019,467,08059,98.84933501987089,3231.9013993314816,0.03058550457025634,0.0,5796.9,0.00028750999097218634,0.028420171419169703
eia860_467_08019,467,08093,180.21821901460476,374.3606126044212,0.48140272493099445,0.0,5796.9,0.00028750999097218634,0.05181453852191251
eia860_467_08019,467,08117,300.0,354.80642868680343,0.8455314665812258,0.0,5796.9,0.00028750999097218634,0.0862529972916559
eia860_469_08001,469,08001,995.6984540968068,5366.249295682584,0.18554830370961262,0.0,5796.9,0.00028750999097218634,0.28627325354839284
eia860_469_08001,469,08005,996.076931422119,3027.2137635552135,0.32904083068527956,0.0,5796.9,0.00028750999097218634,0.2863820695607765
eia860_469_08001,469,08013,980.7851176603035,4742.997819009426,0.20678590947890005,0.0,5796.9,0.00028750999097218634,0.28198552032416857
eia860_469_08001,469,08014,1006.4000000000001,5507.2504489762805,0.18274091750940355,0.0,5796.9,0.00028750999097218634,0.28935005491440835
eia860_469_08001,469,08019,206.13914708071894,1062.0614059342763,0.19409343558565906,0.0,5796.9,0.00028750999097218634,0.05926706431619169
eia860_469_08001,469,08031,1006.4,3743.57475815982,0.268833952843165,0.0,5796.9,0.00028750999097218634,0.28935005491440835
eia860_469_08001,469,08035,987.1970396338495,2170.147248429024,0.4548986435590877,0.0,5796.9,0.00028750999097218634,0.28382901195289717
eia860_469_08001,469,08047,667.3243169398908,1666.264788251366,0.4004911594154271,0.0,5796.9,0.00028750999097218634,0.1918624083389084
eia860_469_08001,469,08059,999.9429623583455,3231.9013993314816,0.3093977318012188,0.0,5796.9,0.00028750999097218634,0.2874935920803492
eia860_469_08001,469,08123,301.2531822224111,4099.91617562699,0.07347788816105277,0.0,5796.9,0.00028750999097218634,0.08661329970110783
eia860_471_08077,471,08045,3.104907348864355,69.7505893033737,0.04451442460736567,0.0,5796.9,0.00028750999097218634,0.0008926918838414658
eia860_471_08077,471,08077,26.024490972324525,59.17512985890055,0.43978764447798124,0.0,5796.9,0.00028750999097218634,0.007482301164508769
eia860_474_08015,474,08015,0.6,98.41486403598446,0.006096640033771887,0.0,5796.9,0.00028750999097218634,0.0001725059945833118
eia860_474_08015,474,08043,0.09394889103182257,1061.2040621986498,8.853046683328281e-05,0.0,5796.9,0.00028750999097218634,2.7011244812406224e-05
eia860_474_08015,474,08051,0.09180867316958513,86.61769890703961,0.0010599297179219296,0.0,5796.9,0.00028750999097218634,2.6395910794155828e-05
eia860_474_08015,474,08109,0.3153393244499535,72.18788348311125,0.004368313756196064,0.0,5796.9,0.00028750999097218634,9.066320632578146e-05
eia860_476_08045,476,08037,7.017056603773586,46.15302964959569,0.1520389161242215,0.0,5796.9,0.00028750999097218634,0.002017473880802264
eia860_476_08045,476,08045,12.719147901366664,69.7505893033737,0.18235183427692508,0.0,5796.9,0.00028750999097218634,0.0036568820982958326
eia860_476_08045,476,08097,3.028779220779221,130.6077748917749,0.023189884547753364,0.0,5796.9,0.00028750999097218634,0.0008708042864229794
eia860_50205_08067,50205,08007,0.7017099711303575,8.967828854837515,0.07824747578136866,0.0,5796.9,0.00028750999097218634,0.00020174862746478222
eia860_50205_08067,50205,08067,6.1,67.52366611292713,0.09033869680295957,0.0,5796.9,0.00028750999097218634,0.0017538109449303366
eia860_50205_08067,50205,35045,2.573,1618.2358770491803,0.001590003062280273,0.0,5796.9,0.00028750999097218634,0.0007397632067714354
eia860_505_56013,505,56013,6.628216841784681,17.12832343535861,0.3869740588913575,0.0,5796.9,0.00028750999097218634,0.0019056785643432072
eia860_505_56013,505,56017,15.0,15.0,1.0,0.0,5796.9,0.00028750999097218634,0.004312649864582795
eia860_50707_08123,50707,08001,392.6795672009366,5366.249295682584,0.07317579664382477,0.0,5796.9,0.00028750999097218634,0.11289929882090333
eia860_50707_08123,50707,08005,162.34102892033502,3027.2137635552135,0.053627210233637035,0.0,5796.9,0.00028750999097218634,0.046674667759300965
eia860_50707_08123,50707,08013,387.00823439563317,4742.997819009426,0.08159570152964138,0.0,5796.9,0.00028750999097218634,0.11126873397725026
eia860_50707_08123,50707,08014,396.9,5507.2504489762805,0.07206863092158412,0.0,5796.9,0.00028750999097218634,0.11411271541686074
eia860_50707_08123,50707,08031,317.8768079628587,3743.57475815982,0.0849126379191405,0.0,5796.9,0.00028750999097218634,0.09139275818766893
eia860_50707_08123,50707,08059,178.93995592683925,3231.9013993314816,0.05536677448261663,0.0,5796.9,0.00028750999097218634,0.051447025113088976
eia860_50707_08123,50707,08069,142.5331369673561,2758.2437802444883,0.051675322532485544,0.0,5796.9,0.00028750999097218634,0.040979700922721955
eia860_50707_08123,50707,08123,383.33072804586743,4099.91617562699,0.09349721107096676,0.0,5796.9,0.00028750999097218634,0.11021141415982896
eia860_50931_30111,50931,30111,68.0,364.2662296706218,0.18667665147408044,0.0,5796.9,0.00028750999097218634,0.01955067938610867
eia860_50951_49007,50951,49007,46.681684531419016,1039.9464401612743,0.04488854687956781,0.0,5796.9,0.00028750999097218634,0.013421450698194733
eia860_50951_49007,50951,49015,23.96082036775106,2694.254253384522,0.008893303346427487,0.0,5796.9,0.00028750999097218634,0.006888975247618286
eia860_512_08051,512,08029,7.2200943123857195,181.93802970519357,0.03968436024114873,0.0,5796.9,0.00028750999097218634,0.002075849250572352
eia860_512_08051,512,08051,50.201151721706424,86.61769890703961,0.5795715235472096,0.0,5796.9,0.00028750999097218634,0.01443333267830117
eia860_512_08051,512,08085,67.70081498260282,352.8619456833944,0.19186204636344498,0.0,5796.9,0.00028750999097218634,0.019464660704457796
eia860_514_08085,514,08029,46.31001186924581,181.93802970519357,0.25453728362500705,0.0,5796.9,0.00028750999097218634,0.013314591094448706
